Customer_ID,Full_Name,Gender,DOB,Age,Education,Occupation,Employer,Employment_Type,Industry,Annual_Income,Monthly_Income,Bank,IFSC,Account_Number,Account_Type,City,District,State,PIN,Customer_Segment,Savings_Balance,Credit_Card_Holder,Account_Open_Date,Nominee_Relation
CUST_00000001,Daksh Bakshi,Male,1995-02-22,31,Master's,Financial risk analyst,Dewan Ltd,Self-Employed Professional,Automobile,245527.83,20460.65,HDFC Bank,HDFC0001409,403832645883,Savings,Chennai,Chennai,Tamil Nadu,600242,Mass Market,13387.6,False,2011-08-22,Sibling
CUST_00000002,Chameli Sami,Female,1958-04-06,68,Bachelor's,Chief Financial Officer,Kaul PLC,Self-Employed Professional,Banking & Finance,587362.14,48946.85,IndusInd Bank,INDB0002424,566392613993,Savings,Mumbai,Mumbai City,Maharashtra,400195,Mass Market,62768.31,True,2019-08-19,Father
CUST_00000003,Hardik Saini,Male,1968-01-24,58,Diploma,Theme park manager,Ahuja-Dutta,Salaried - Govt,Education,302316.24,25193.02,IndusInd Bank,INDB0001434,317158893990,Savings,Kolkata,Kolkata,West Bengal,700559,Mass Market,46665.26,True,2021-03-03,Daughter
CUST_00000004,Onkar Mall,Male,1964-09-08,61,Bachelor's,Legal secretary,Chanda Group,Self-Employed Professional,Manufacturing,395978.46,32998.21,State Bank of India,SBIN0003615,566854953850,Savings,Surat,Surat,Gujarat,395259,Mass Market,45246.26,False,2011-07-20,Father
CUST_00000005,Orinder Lalla,Male,1998-07-21,28,High School,Pensioner,N/A,Retired,Government/Services,8543819.85,711984.99,Punjab National Bank,PUNB0002674,517010168081,Savings,Mysuru,Mysuru,Karnataka,570967,HNI,1039688.92,False,2021-09-03,Mother
CUST_00000006,David Radhakrishnan,Male,1960-09-14,65,High School,Hospital doctor,"Pathak, Handa and Boase",Salaried - Private,Services,561914.57,46826.21,Kotak Mahindra Bank,KKBK0001711,605645347792,Salary,Mysuru,Mysuru,Karnataka,570180,Mass Market,20890.94,True,2010-09-25,Daughter
CUST_00000007,Ishaan Mann,Male,2007-10-22,18,Bachelor's,"Exhibitions officer, museum/gallery",Rai LLC,Salaried - Private,Manufacturing,8291009.46,690917.45,IDFC FIRST Bank,IDFB0006925,312933106111,Salary,Bengaluru,Bengaluru Urban,Karnataka,560777,HNI,2372947.78,False,2017-04-03,Father
CUST_00000008,Rajata Gaba,Female,1975-11-06,50,High School,"Engineer, manufacturing systems","Loke, Bora and Garg",Salaried - Private,Manufacturing,316638.74,26386.56,HDFC Bank,HDFC0004814,211095701426,Savings,Howrah,Howrah,West Bengal,711564,Mass Market,30373.44,False,2018-07-18,Sibling
CUST_00000009,Jason Gade,Male,1980-08-18,45,Diploma,Geophysicist/field seismologist,"Kanda, Nair and Bhalla",Salaried - Govt,Retail & E-commerce,516922.73,43076.89,ICICI Bank,ICIC0007065,329159142739,Current,Hyderabad,Hyderabad,Telangana,500723,Mass Market,7442.2,False,2013-08-31,Sibling
CUST_00000010,Amol Mutti,Male,1977-06-16,49,High School,Brewing technologist,Murty and Sons,Self-Employed Business,Healthcare,1912212.9,159351.07,IndusInd Bank,INDB0005010,607507949295,Savings,Howrah,Howrah,West Bengal,711755,Affluent,358508.14,True,2020-06-26,Sibling
CUST_00000011,Rudra Shanker,Male,1964-01-13,62,Master's,Corporate treasurer,Yohannan LLC,Salaried - Govt,Agriculture,206694.51,17224.54,Axis Bank,UTIB0006313,945433611429,Savings,Mumbai,Mumbai City,Maharashtra,400941,Mass Market,24701.71,False,2021-12-13,Spouse
CUST_00000012,Upadhriti Rastogi,Female,1975-06-03,51,Bachelor's,Corporate investment banker,"Tak, Chand and Batta",Self-Employed Business,Retail & E-commerce,230229.58,19185.8,Bank of Baroda,BARB0005386,332212511873,Salary,Ahmedabad,Ahmedabad,Gujarat,380771,Mass Market,54066.87,False,2023-10-11,Son
CUST_00000013,Faraj Dutta,Male,1997-10-08,28,Bachelor's,"Pharmacist, hospital","Bhatt, Rajan and Raj",Salaried - Private,Government,359567.23,29963.94,Canara Bank,CNRB0003340,251461507038,Savings,Madurai,Madurai,Tamil Nadu,625674,Mass Market,3855.6,True,2019-07-14,Daughter
CUST_00000014,Vivaan Wadhwa,Male,1969-09-03,56,Diploma,Surgeon,Contractor Ltd,Salaried - Govt,Manufacturing,4294620.94,357885.08,IDFC FIRST Bank,IDFB0008019,743806247029,Salary,Howrah,Howrah,West Bengal,711324,HNI,1261804.14,True,2024-02-26,Father
CUST_00000015,Kiaan Oak,Male,1962-05-29,64,Diploma,"Presenter, broadcasting",Setty Inc,Salaried - Private,Agriculture,8541714.88,711809.57,Canara Bank,CNRB0002489,154785667210,Salary,Bengaluru,Bengaluru Urban,Karnataka,560742,HNI,1730147.89,False,2025-04-05,Father
CUST_00000016,Karan Tella,Male,1996-03-16,30,Master's,"Runner, broadcasting/film/video",Misra Ltd,Salaried - Govt,Automobile,2212964.34,184413.69,Bank of Baroda,BARB0002040,518264390725,Savings,Kanpur,Kanpur Nagar,Uttar Pradesh,208357,Affluent,177201.39,True,2018-02-14,Daughter
CUST_00000017,Hardik Dua,Male,1976-01-15,50,Master's,"Designer, television/film set","Wali, Acharya and Naik",Self-Employed Business,Information Technology,394513.87,32876.16,HDFC Bank,HDFC0009797,395282771728,Savings,Ahmedabad,Ahmedabad,Gujarat,380400,Mass Market,32471.0,True,2017-10-25,Son
CUST_00000018,Daksh Patil,Male,2002-04-10,24,Master's,Information systems manager,Bhardwaj and Sons,Salaried - Private,Healthcare,475267.96,39605.66,Canara Bank,CNRB0001053,894370590668,Current,Hyderabad,Hyderabad,Telangana,500619,Mass Market,28544.96,False,2024-01-18,Spouse
CUST_00000019,Balveer Chada,Male,1994-08-23,31,Bachelor's,Broadcast presenter,"Dass, Dave and Soman",Salaried - Private,Automobile,195492.52,16291.04,Kotak Mahindra Bank,KKBK0009317,317363871943,Savings,Delhi,East Delhi,Delhi,110880,Mass Market,46498.2,False,2025-02-23,Father
CUST_00000020,Fitan Lanka,Male,1984-01-12,42,Diploma,Training and development officer,Kakar-Zacharia,Self-Employed Business,Agriculture,240855.85,20071.32,IndusInd Bank,INDB0001009,454759765684,Current,Noida,Gautam Buddha Nagar,Uttar Pradesh,201214,Mass Market,37730.05,False,2022-01-31,Mother
CUST_00000021,Harish Muni,Male,1977-05-05,49,Bachelor's,Midwife,Varughese-Seth,Self-Employed Professional,Manufacturing,485850.87,40487.57,Axis Bank,UTIB0001949,190532572167,Savings,Noida,Gautam Buddha Nagar,Uttar Pradesh,201878,Mass Market,28848.17,False,2011-12-09,Daughter
CUST_00000022,Isaiah Bhatt,Male,1974-03-06,52,High School,Theatre stage manager,"Karpe, Kannan and Amble",Self-Employed Business,Healthcare,258337.77,21528.15,ICICI Bank,ICIC0008787,705362105548,Savings,Delhi,East Delhi,Delhi,110640,Mass Market,4976.59,False,2011-02-19,Daughter
CUST_00000023,Ayushman Karnik,Male,1960-02-11,66,High School,Ambulance person,Bobal-Varkey,Salaried - Govt,Government,450972.57,37581.05,Axis Bank,UTIB0009835,902107756371,Salary,Madurai,Madurai,Tamil Nadu,625419,Mass Market,14728.75,True,2013-10-22,Son
CUST_00000024,Watika Kala,Female,1984-08-18,41,High School,"Teacher, English as a foreign language","Solanki, Kibe and Solanki",Salaried - Private,Automobile,568371.32,47364.28,Punjab National Bank,PUNB0008177,670799496139,Savings,Noida,Gautam Buddha Nagar,Uttar Pradesh,201353,Mass Market,66045.77,False,2022-12-02,Father
CUST_00000025,Ikshita Chandra,Female,1961-08-24,64,Bachelor's,Plant breeder/geneticist,Sampath-Roy,Salaried - Govt,Banking & Finance,219103.16,18258.6,Punjab National Bank,PUNB0001344,708117155426,Current,Madurai,Madurai,Tamil Nadu,625325,Mass Market,67496.75,False,2017-06-21,Spouse
CUST_00000026,Avi Chaudhari,Male,1959-10-05,66,Diploma,"Librarian, academic",Kothari and Sons,Salaried - Private,Banking & Finance,2214798.47,184566.54,State Bank of India,SBIN0004750,178728590908,Salary,Coimbatore,Coimbatore,Tamil Nadu,641785,Affluent,404834.57,False,2013-01-16,Son
