Customer_ID,PAN,Passport_Number,Driving_Licence,Voter_ID,KYC_Status,Face_Match_Score,OCR_Match_Score,Liveness_Score,Address_Match_Score
CUST_00000001,QAHFT6804A,C2501652,N/A,PVA8631930,VERIFIED,0.87,0.9,0.83,0.95
CUST_00000002,CWPUS5935U,N/A,N/A,QWP7022021,VERIFIED,0.97,0.91,0.85,0.79
CUST_00000003,HQJJF2966F,R7139656,MH3020230538553,UKB9572486,VERIFIED,0.94,0.9,0.87,0.83
CUST_00000004,DDTOT4539E,N/A,N/A,NCB1674039,VERIFIED,0.93,0.89,0.92,0.79
CUST_00000005,NZWAS6526D,J4498251,N/A,N/A,VERIFIED,0.89,0.89,0.93,0.85
CUST_00000006,XWHQP1757Q,A5413982,TN7320111437027,TVZ5169156,VERIFIED,0.89,0.96,0.87,0.87
CUST_00000007,ZYTRS3638O,N/A,KA3220131074177,N/A,VERIFIED,0.98,0.99,0.92,0.96
CUST_00000008,IPFFB6298C,Q2621954,UP5320131582525,CLL4769043,VERIFIED,0.9,0.91,0.95,0.83
CUST_00000009,WGELK2294R,D0989981,UP6220136728340,XEA3972677,VERIFIED,0.86,1.0,0.94,0.8
CUST_00000010,RMEFB7030P,Q9505800,N/A,WKY5500653,VERIFIED,0.96,0.89,0.88,0.78
CUST_00000011,GRIGD6499A,N/A,UP8020191677408,BFG9883187,REJECTED,0.42,0.63,0.46,0.5
CUST_00000012,PZRAV2691D,N/A,KA9620182607984,HPS2624980,VERIFIED,0.93,0.97,0.9,0.87
CUST_00000013,LHAUQ2754A,D0895851,DL0620146117838,XUW8221784,REJECTED,0.42,0.56,0.56,0.21
CUST_00000014,QEYWZ8807K,Z9888271,N/A,WWF8437201,REJECTED,0.36,0.7,0.52,0.39
CUST_00000015,IWZHQ3959D,N/A,N/A,WGP9053749,VERIFIED,0.93,0.98,0.96,0.82
CUST_00000016,DXEBL5869X,V1499661,TS6520146851697,ISO1637154,VERIFIED,0.97,0.88,0.9,0.85
CUST_00000017,VHFUP3465Z,Z7626609,TN8720143768845,UDB9674857,VERIFIED,0.9,0.94,0.93,0.83
CUST_00000018,JKDRX8872Z,N/A,N/A,YNB2848695,VERIFIED,0.89,0.91,0.83,0.89
CUST_00000019,YXPSN8587P,N/A,UP3420224147995,VHU4247238,VERIFIED,0.88,0.9,0.9,0.98
CUST_00000020,CDJDF4340N,M9568730,GJ3920226542891,WYK7562240,VERIFIED,0.95,0.92,0.92,0.9
CUST_00000021,IRKEM1603S,N/A,MH1120207190930,N/A,VERIFIED,0.88,0.88,0.91,0.91
CUST_00000022,DMBJF3737N,I8470920,MH9720104148726,FAD1652671,VERIFIED,0.87,0.96,0.88,0.97
CUST_00000023,PTCVZ1036M,M9158263,KA7320220689026,JLJ5388196,VERIFIED,0.97,0.91,0.93,0.94
CUST_00000024,VSLTZ2854N,N/A,TS4220234118726,VCW2463081,VERIFIED,0.98,0.99,0.92,0.83
CUST_00000025,FUIWS2090X,N4766470,N/A,N/A,VERIFIED,0.96,0.96,0.83,0.79
CUST_00000026,FRHPM5473W,N/A,UP3520144217854,FSI7961725,VERIFIED,0.94,0.88,0.85,0.88
CUST_00000027,TPZVH3371B,N/A,MH7120142118619,QTC0243928,VERIFIED,0.88,0.92,0.94,0.9
CUST_00000028,CBMPR1890H,N/A,KA7220226982242,PUF5448936,VERIFIED,0.9,0.91,0.86,0.97
CUST_00000029,PTYFF6110A,N4522774,N/A,RYU6694569,VERIFIED,0.92,0.95,0.9,0.79
CUST_00000030,VBEHT5216W,N/A,WB3520189059388,MCB4320985,VERIFIED,0.87,0.99,0.97,0.96
CUST_00000031,YZRHB7469F,S4894431,DL4320168312591,N/A,VERIFIED,0.99,1.0,0.96,0.82
CUST_00000032,HYVOL3394Q,A6541376,N/A,TFO9461962,VERIFIED,0.93,0.99,0.93,0.88
CUST_00000033,EOOCZ9418P,W2744441,TN7720182290230,N/A,VERIFIED,0.92,0.99,0.94,0.91
CUST_00000034,WHUKY5822S,N/A,UP2020179035883,MIT3989238,VERIFIED,0.96,0.98,0.97,0.87
CUST_00000035,KIMXJ9761B,N/A,N/A,DZI1809018,VERIFIED,0.96,0.99,0.87,0.84
CUST_00000036,ZBUGQ3036R,M9684562,TS3020211516314,LCQ8469072,VERIFIED,0.93,0.91,0.91,0.76
CUST_00000037,JDNOU1086H,P9142208,N/A,XRE4356428,VERIFIED,0.92,0.97,0.85,0.89
CUST_00000038,FKMGO5929V,M2567064,TS3020195910965,FEG7761060,VERIFIED,0.94,0.97,0.98,0.87
CUST_00000039,UAJDX3427L,Q5219992,N/A,WUM0726638,VERIFIED,0.86,0.88,0.97,0.94
CUST_00000040,OCKGD3723U,N/A,GJ1420203922881,MQY3666476,VERIFIED,0.89,0.95,0.93,0.9
CUST_00000041,DBAZD2533X,W9471404,N/A,KYA3498065,VERIFIED,0.94,0.93,0.86,0.83
CUST_00000042,ZJKED8466T,N/A,MH0720225595356,GDO0722831,REJECTED,0.63,0.63,0.39,0.14
CUST_00000043,XAWDD2160A,N/A,GJ3120195431984,AGD4104354,VERIFIED,0.91,0.95,0.92,0.76
CUST_00000044,FPSXR3609M,N6490060,TS8020209820790,OIZ5460786,VERIFIED,0.94,0.9,0.83,0.9
CUST_00000045,TSFLF3440N,K6319080,KA9620216251977,N/A,VERIFIED,0.9,0.96,0.89,0.88
CUST_00000046,VOPOI1367X,N/A,MH3720195242023,N/A,VERIFIED,0.88,0.89,0.84,0.75
CUST_00000047,JPFRF1837S,H8898660,TS0420124584717,SII0854160,VERIFIED,0.97,0.88,0.95,0.81
CUST_00000048,TFKIJ7750B,E1662644,TS2820228595745,CLH6460350,VERIFIED,0.95,0.98,0.87,0.79
CUST_00000049,HFDGI0713W,N/A,N/A,N/A,VERIFIED,0.9,0.97,0.87,0.96
CUST_00000050,FORJK7440K,N/A,WB7420167007742,HKZ1946341,VERIFIED,0.86,0.99,0.9,0.94
CUST_00000051,LKCWT2706Q,Q1739611,N/A,GED7096455,PENDING_REVERIFICATION,0.33,0.5,0.58,0.53
CUST_00000052,RWQZI9344U,N/A,TS3620190942412,JBM0326905,VERIFIED,0.9,0.96,0.94,0.93
CUST_00000053,JPYTB9516Q,N/A,DL0820171736474,VVZ0607956,REJECTED,0.47,0.68,0.34,0.15
CUST_00000054,JXKUR0633R,V3289610,N/A,RXI6617056,VERIFIED,0.86,0.96,0.83,0.94
CUST_00000055,IDSYZ9065A,N/A,GJ4020123593557,ITE9127557,VERIFIED,0.9,0.92,0.95,0.97
CUST_00000056,NRWQP1166F,N/A,N/A,SBJ7967722,VERIFIED,0.96,0.95,0.89,0.96
CUST_00000057,ZUXFR5477Q,Q4116804,GJ7120241721171,SND0145809,VERIFIED,0.86,0.89,0.84,0.9
CUST_00000058,VXYKK3302K,N/A,KA9220205625239,N/A,VERIFIED,0.89,0.98,0.86,0.97
CUST_00000059,UDHVS1740C,A2857512,N/A,HBK7419505,VERIFIED,0.92,1.0,0.83,0.88
CUST_00000060,GDLPG4609C,N/A,MH5020237887558,BKJ7302615,VERIFIED,0.91,0.96,0.91,0.96
CUST_00000061,TDJIQ8694F,Z1790278,GJ4020186681091,N/A,VERIFIED,0.91,0.95,0.86,0.79
CUST_00000062,ZOGTE3783D,N/A,GJ5620246711252,TXK9449587,PENDING_REVERIFICATION,0.67,0.62,0.41,0.24
CUST_00000063,CPVOI0636N,N/A,DL8920175897980,LSX6467064,VERIFIED,0.97,0.99,0.94,0.89
CUST_00000064,NTEAW6412U,L3901434,N/A,N/A,REJECTED,0.44,0.66,0.59,0.17
CUST_00000065,BDJIH9015R,N/A,KA3420224366938,N/A,VERIFIED,0.97,0.94,0.89,0.81
CUST_00000066,SFPSZ2101W,O9899675,N/A,N/A,VERIFIED,0.99,0.95,0.94,0.97
CUST_00000067,HHESS1329Z,N/A,DL3120228288313,AOJ8560397,VERIFIED,0.98,0.95,0.86,0.9
CUST_00000068,NTVBZ6463Y,N/A,DL9920127258131,NWV5319295,VERIFIED,0.92,0.97,0.9,0.95
CUST_00000069,HCFYH6606S,N/A,DL2220205664317,N/A,VERIFIED,0.87,0.88,0.94,0.89
CUST_00000070,VOVAB6567N,N/A,MH6420249153272,HYM8620044,REJECTED,0.52,0.53,0.37,0.51
CUST_00000071,FPIST8913R,D3422023,WB3220232679316,VYS1194840,VERIFIED,0.94,0.98,0.97,0.78
CUST_00000072,KLGPB2586J,N/A,MH1420162247056,WST3451505,VERIFIED,0.99,0.94,0.87,0.9
CUST_00000073,THZRD9373L,Y1640078,UP2020198648752,DYI3685554,VERIFIED,0.87,0.9,0.92,0.79
CUST_00000074,OMAIC4388U,A5269520,N/A,MNS7382571,VERIFIED,0.87,0.9,0.83,0.79
CUST_00000075,LKKFN6487W,E5594394,GJ7020154435262,PEG5292227,VERIFIED,0.91,0.9,0.88,0.87
CUST_00000076,IJYUH1639L,N/A,DL3820104825637,YCY6728252,VERIFIED,0.86,0.98,0.97,0.76
CUST_00000077,CTGBX2213P,D6199168,N/A,MQT2207627,VERIFIED,0.88,0.92,0.9,0.89
CUST_00000078,WAXKV9087F,X9980519,TS5920209115070,NXD5283767,REJECTED,0.57,0.69,0.4,0.34
CUST_00000079,AIHRF6644K,C4094903,UP9720145530195,HSA6601345,VERIFIED,0.89,0.93,0.82,0.82
CUST_00000080,XSIDX2621E,O7645456,TN9820139996108,WCL7050555,VERIFIED,0.93,0.96,0.95,0.86
CUST_00000081,DINDF5058O,E5404873,MH9620139702454,BLS5089421,VERIFIED,0.91,0.9,0.87,0.83
CUST_00000082,DQSZJ8493C,N/A,DL8420235834611,DZK1987947,VERIFIED,0.93,0.91,0.84,0.79
CUST_00000083,LJFLE1870V,N6982054,MH3220210742170,KGF8052873,VERIFIED,0.87,0.99,0.83,0.87
CUST_00000084,PRIHD6230S,X9644996,N/A,UIK1374837,VERIFIED,0.99,0.98,0.95,0.81
CUST_00000085,UXOZO1226O,L0712668,TN9820199375956,N/A,VERIFIED,0.93,0.91,0.94,0.79
CUST_00000086,FFXHX2177Y,P9673232,UP6920206027376,IJW4877323,VERIFIED,0.87,0.95,0.87,0.88
CUST_00000087,BWTAO5721H,M5259374,UP5920125908536,ESM9560089,REJECTED,0.35,0.42,0.6,0.25
CUST_00000088,RTKVG7053T,N/A,UP8520170263936,AOA5290868,VERIFIED,0.93,0.94,0.89,0.83
CUST_00000089,XCCDE5823L,N/A,N/A,N/A,VERIFIED,0.95,0.99,0.85,0.77
CUST_00000090,YLGSH8096B,N/A,KA5220166327856,N/A,VERIFIED,0.96,0.9,0.85,0.79
CUST_00000091,OBAEM4758D,N/A,MH3020139509061,MBB9850939,VERIFIED,0.97,0.93,0.95,0.85
CUST_00000092,PTSKC1283R,K3776073,KA5620131275375,ITY3702943,VERIFIED,0.92,0.91,0.96,0.84
CUST_00000093,YLRRC6770E,N/A,N/A,JUE3309471,VERIFIED,0.98,0.96,0.87,0.78
CUST_00000094,CLONC0557M,N/A,MH3820166506197,USO9256122,VERIFIED,0.96,0.9,0.87,0.81
CUST_00000095,DEHHU3974T,N/A,TN5920112273138,HYI6833889,VERIFIED,0.97,0.92,0.95,0.78
CUST_00000096,DIYFI9926P,N/A,TN4220164702657,VKC5556594,VERIFIED,0.87,0.91,0.94,0.92
CUST_00000097,SLHSV7446H,N/A,TS8520127098910,UBZ4459657,VERIFIED,0.9,0.9,0.97,0.88
CUST_00000098,JXNQC7636B,S9637940,TS2920188703983,N/A,VERIFIED,0.93,0.94,0.92,0.75
CUST_00000099,ORFJM6619P,N/A,N/A,CKZ1913424,VERIFIED,0.98,0.96,0.84,0.88
CUST_00000100,MLSIH8186V,N/A,DL9520138656942,EEO9241640,VERIFIED,0.98,0.93,0.84,0.98
CUST_00000101,PFPKS2780D,N/A,DL4720153306358,N/A,VERIFIED,0.92,0.95,0.88,0.76
CUST_00000102,LGWNQ5653O,T1689563,N/A,GDJ1355445,VERIFIED,0.91,0.94,0.97,0.83
CUST_00000103,XYEEH1868A,P1895464,N/A,VMC0722514,VERIFIED,0.91,0.9,0.85,0.86
CUST_00000104,TTOCC7838B,Y7591872,N/A,ZLJ8497285,VERIFIED,0.94,0.88,0.93,0.79
CUST_00000105,JSQED2203I,N/A,DL4220214909596,HGW9609799,VERIFIED,0.99,0.94,0.92,0.77
CUST_00000106,WDWGS8764S,N/A,TS8120166294348,N/A,VERIFIED,0.88,0.88,0.9,0.88
CUST_00000107,LQWCN2939K,S0777463,N/A,BNF4228355,VERIFIED,0.91,0.93,0.91,0.79
CUST_00000108,MIRBC7418O,O0926161,N/A,N/A,VERIFIED,0.89,0.96,0.89,0.76
