Date,Particulars,Debit,Credit,Closing Balance
01-Feb-2026,UPI/CR/TXN900185/M_MITRA/YESB/Payment_fr_M_MITRA,,37.95,"45,037.95"
01-Feb-2026,UPI/CR/TXN549660/P_MANDAL/YESB/Payment_fr_P_MANDAL,,3.21,"45,041.16"
01-Feb-2026,UPI/CR/TXN397005/B_NATH/YESB/Payment_fr_B_NATH,,90.76,"45,131.92"
01-Feb-2026,UPI/CR/TXN716113/R_DHAR/YESB/Payment_fr_R_DHAR,,31.88,"45,163.80"
01-Feb-2026,UPI/CR/TXN437758/M_MITRA/YESB/Payment_fr_M_MITRA,,13.22,"45,177.02"
01-Feb-2026,UPI/CR/TXN466566/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,37.00,"45,214.02"
01-Feb-2026,UPI/CR/TXN437145/A_KUNDU/YESB/Payment_fr_A_KUNDU,,58.59,"45,272.61"
01-Feb-2026,UPI/CR/TXN582446/S_BAG/YESB/Payment_fr_S_BAG,,29.67,"45,302.28"
01-Feb-2026,UPI/CR/TXN555052/M_MITRA/YESB/Payment_fr_M_MITRA,,81.32,"45,383.60"
01-Feb-2026,UPI/CR/TXN563187/J_BOSE/YESB/Payment_fr_J_BOSE,,21.50,"45,405.10"
01-Feb-2026,UPI/CR/TXN649414/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,38.32,"45,443.42"
01-Feb-2026,UPI/CR/TXN832168/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,81.17,"45,524.59"
01-Feb-2026,UPI/CR/TXN701987/S_BASU/YESB/Payment_fr_S_BASU,,38.13,"45,562.72"
01-Feb-2026,UPI/CR/TXN514991/M_MITRA/YESB/Payment_fr_M_MITRA,,37.77,"45,600.49"
01-Feb-2026,UPI/CR/TXN114594/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,92.42,"45,692.91"
01-Feb-2026,UPI/CR/TXN769989/C_ROY/YESB/Payment_fr_C_ROY,,69.98,"45,762.89"
01-Feb-2026,UPI/CR/TXN178711/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,20.94,"45,783.83"
01-Feb-2026,UPI/CR/TXN765620/J_HALDER/YESB/Payment_fr_J_HALDER,,26.38,"45,810.21"
01-Feb-2026,UPI/CR/TXN498676/D_PAL/YESB/Payment_fr_D_PAL,,47.75,"45,857.96"
01-Feb-2026,UPI/CR/TXN265056/G_MODAK/YESB/Payment_fr_G_MODAK,,73.75,"45,931.71"
01-Feb-2026,UPI/CR/TXN733039/A_CHANDA/YESB/Payment_fr_A_CHANDA,,76.87,"46,008.58"
01-Feb-2026,UPI/CR/TXN749641/A_K_ROY/YESB/Payment_fr_A_K_ROY,,37.65,"46,046.23"
01-Feb-2026,UPI/CR/TXN173201/D_PAL/YESB/Payment_fr_D_PAL,,58.38,"46,104.61"
01-Feb-2026,UPI/CR/TXN837852/A_CHAKRABORTY/YESB/Payment_fr_A_CHAKRABORTY,,36.19,"46,140.80"
02-Feb-2026,UPI/CR/TXN175576/R_DHAR/YESB/Payment_fr_R_DHAR,,65.82,"46,206.62"
02-Feb-2026,UPI/CR/TXN449499/C_ROY/YESB/Payment_fr_C_ROY,,34.82,"46,241.44"
02-Feb-2026,UPI/CR/TXN947903/T_ROY/YESB/Payment_fr_T_ROY,,35.75,"46,277.19"
02-Feb-2026,UPI/CR/TXN772875/S_SARKAR/YESB/Payment_fr_S_SARKAR,,82.44,"46,359.63"
02-Feb-2026,UPI/CR/TXN196214/A_K_ROY/YESB/Payment_fr_A_K_ROY,,25.35,"46,384.98"
02-Feb-2026,UPI/CR/TXN535673/S_BASU/YESB/Payment_fr_S_BASU,,21.01,"46,405.99"
02-Feb-2026,UPI/CR/TXN469038/P_NASKAR/YESB/Payment_fr_P_NASKAR,,31.62,"46,437.61"
02-Feb-2026,UPI/CR/TXN199096/M_GUHA/YESB/Payment_fr_M_GUHA,,74.31,"46,511.92"
02-Feb-2026,UPI/CR/TXN802667/D_PAL/YESB/Payment_fr_D_PAL,,24.66,"46,536.58"
02-Feb-2026,UPI/CR/TXN985447/D_SEN/YESB/Payment_fr_D_SEN,,30.20,"46,566.78"
02-Feb-2026,UPI/CR/TXN916964/M_GUHA/YESB/Payment_fr_M_GUHA,,39.42,"46,606.20"
02-Feb-2026,UPI/DR/TXN295085/NESTLE_INDIA/HDFC/Payment_to_NESTLE_INDIA,223.55,,"46,382.65"
02-Feb-2026,UPI/CR/TXN906814/S_MUKHERJEE/YESB/Payment_fr_S_MUKHERJEE,,79.07,"46,461.72"
02-Feb-2026,UPI/DR/TXN529322/PARLE_PRODUCTS/HDFC/Payment_to_PARLE_PRODUCTS,430.29,,"46,031.43"
02-Feb-2026,UPI/CR/TXN215266/P_DEY/YESB/Payment_fr_P_DEY,,69.77,"46,101.20"
02-Feb-2026,UPI/CR/TXN973835/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,24.25,"46,125.45"
02-Feb-2026,UPI/CR/TXN787584/P_NASKAR/YESB/Payment_fr_P_NASKAR,,76.80,"46,202.25"
